25600	raised_wavy_line	A#1#1#0#0#4#26#5##0#4*%£
14183	fire	A#1#1#0#0#8#25#9##0#4*%£
18209	water,fluid,liquid	A#1#2#0#0#11#15#12##0#4*%£
25777	puddle,pool	A#1#2#0#0#15#15#16##0#4*%£
14164	feeling,emotion,sensation	B#1#1#0#0#8#31#9##0#4*%£
13365	cloth,fabric,material,textile,net	C#1#1#0#0#8#17#9##0#4*%£
15742	number	C#2#1#0#0#8#29#9##0#4*%£
13894	ear	E#1#1#0#0#8#19#9##0#4*%£
17983	up,upward	F#1#1#0#0#8#11#9##0#4*%£
14390	forward	F#1#2#0#0#10#13#11##0#4*%£
13869	down,downward	F#1#3#0#0#8#31#9##0#4*%£
12613	backward,back	F#1#4#0#0#10#33#11##0#4*%£
18232	wheel	G#1#1#0#0#12#33#13##0#4*%£
15666	mouth	H#2#1#0#0#10#19#11##0#4*%£
17462	sun	H#3#1#0#0#8#19#9##0#4*%£
13382	indicator_(combine)	H#5#1#0#0#4#33#5##0#4*%£
23817	bow,arc	J#1#1#0#0#12#33#13##0#4*%£
15471	mind,intellect,reason	J#1#1#0#0#8#33#9##0#4*%£
13627	curve,curved_line	J#1#2#0#0#8#33#9##0#4*%£
13403	container,bowl,holder,pouch,basket	J#1#3#0#0#12#9#13##0#4*%£
25536	container_(low)	J#1#3#0#0#16#33#15##0#4*%£
25535	container,basket_(high)	J#1#3#0#0#8#34#9##0#4*%£
21061	horn(s),antler(s)	K#1#3#0#0#8#33#9##0#4*%£
14636	grass	K#2#1#0#0#12#25#13##0#4*%£
24726	receiver,dish	K#2#4#0#0#12#19#13##0#4*%£
15975	past	K#3#2#0#0#8#25#9##0#4*%£
14417	future	K#3#4#0#0#8#27#9##0#4*%£
12352	ago,then_(past)	K#4#2#0#0#12#13#13##0#4*%£
17705	then,so,later	K#4#4#0#0#12#11#13##0#4*%£
9004	indicator_(past_action)	K#5#2#0#0#4#31#5##0#4*%£
8999	indicator_(future_action)	K#5#4#0#0#4#29#5##0#4*%£
13934	enclosure	L#1#1#0#0#8#29#9##0#4*%£
17717	thing,object	L#2#1#0#0#10#7#11##0#4*%£
9009	indicator_(thing)	L#3#1#0#0#4#27#5##0#4*%£
13866	door	N#1#1#0#0#8#21#9##0#4*%£
16687	room	N#1#2#0#0#8#21#9##0#4*%£
15923	opening	N#1#3#0#0#8#33#9##0#4*%£
17493	table	O#1#1#0#0#12#21#13##0#4*%£
24120	foundation,base,fundament	O#1#3#0#0#12#35#13##0#4*%£
14442	glass,drinking_glass	O#2#3#0#0#8#17#9##0#4*%£
23583	making,production,fashioning	P#1#1#0#0#12#33#13##0#4*%£
13134	cause	P#1#2#0#0#8#27#9##0#4*%£
15663	mountain	P#2#3#0#0#8#17#9##0#4*%£
17267	stone,rock	P#3#3#0#0#12#33#13##0#4*%£
13867	dot	Q#1#1#0#0#12#29#13##0#4*%£
8486	period,point,full_stop,decimal_point	Q#1#1#0#0#16#29#17##0#4*%£
16420	protection,shelter	R#1#1#0#0#8#33#9##0#4*%£
16480	greater_than_(relation)	R#1#2#0#0#8#33#9##0#4*%£
16479	less_than_(relation)	R#1#4#0#0#8#33#9##0#4*%£
12324	about,concerning,in_relation_to,of,on	R#2#2#0#0#10#21#11##0#4*%£
13100	by,by_means_of,of	R#2#4#0#0#10#27#11##0#4*%£
16161	person,human_being,individual,human	S#1#1#0#0#8#15#9##0#4*%£
13094	but,except	S#3#4#0#0#10#1#11##0#4*%£
12339	addition,gain	T#1#1#0#0#8#31#9##0#4*%£
12374	and,also,plus,too	T#2#1#0#0#10#23#11##0#4*%£
25596	plus_sign_(low)	T#2#1#0#0#12#43#13##0#4*%£
12663	belongs_to,of_(possessive)	T#2#1#0#0#14#17#15##0#4*%£
18267	with	T#2#1#0#0#6#17#7##0#4*%£
15673	multiplication	T#3#1#0#0#8#31#9##0#4*%£
14647	group_of,much_of,many_of,quantity_of	T#4#1#0#0#12#29#13##0#4*%£
9011	indicator_(plural)	T#5#1#0#0#4#17#5##0#4*%£
13607	creation,nature	U#1#1#0#0#8#33#9##0#4*%£
14166	female_(gender)	U#2#1#0#0#12#31#13##0#4*%£
25822	tooth	U#2#3#0#0#12#23#13##0#4*%£
12334	action,act,deed	V#1#1#0#0#8#31#9##0#4*%£
13949	evaluation,value	V#1#3#0#0#8#33#9##0#4*%£
12335	activity,male_gender_(in_combinations)	V#2#1#0#0#12#35#13##0#4*%£
25554	evaluation,value_(half-sized)	V#2#3#0#0#12#35#13##0#4*%£
8993	indicator_(action)	V#5#1#0#0#4#27#5##0#4*%£
8994	indicator_(active)	V#5#2#0#0#4#27#5##0#4*%£
8998	indicator_(description)	V#5#3#0#0#4#27#5##0#4*%£
9003	indicator_(passive)	V#5#4#0#0#4#27#9##0#4*%£
14667	hand	V#9#3#0#0#8#25#9##0#4*%£
24666	indicator_(continuous_form)	W#1#1#0#0#6#7#7##0#4*%£
24672	indicator_(neutral_form)	W#1#2#0#0#4#11#5##0#4*%£
15474	minus,no,without	W#2#1#0#0#12#33#13##0#4*%£
14960	it	W#2#2#0#0#12#29#13##0#4*%£
17449	subtraction,loss	W#4#1#0#0#12#33#13##0#4*%£
13901	earth,ground,land	W#4#1#0#0#16#5#17##0#4*%£
17006	sky	W#4#1#0#0#8#31#9##0#4*%£
15214	line,stripe	W#4#2#0#0#8#3#7##0#4*%£
12321	a,an,any	W#5#1#0#0#11#20#12##0#4*%£
24671	indicator_(indefinite_form)	W#5#1#0#0#4#7#5##0#4*%£
17700	the	W#5#2#0#0#11#32#12##0#4*%£
24667	indicator_(definite_form)	W#5#2#0#0#4#9#5##0#4*%£
15991	pen,pencil	W#8#1#0#0#8#31#9##0#4*%£
24883	deletion,cancellation,destruction	W#8#2#0#0#8#31#9##0#4*%£
8496	zero_(digit),0	Y#1#1#0#0#12#31#13##0#4*%£
8505	nine_(digit),9	Y#10#1#0#0#12#33#13##0#4*%£
8510	zero_(index_number)	Y#11#1#0#0#14#35#15##0#4*%£
8511	one_(index_number)	Y#12#1#0#0#14#35#15##0#4*%£
24669	indicator_(first_person)	Y#12#1#0#0#4#7#5##0#4*%£
8512	two_(index_number)	Y#13#1#0#0#14#35#15##0#4*%£
24678	indicator_(second_person)	Y#13#1#0#0#4#5#5##0#4*%£
8513	three_(index_number)	Y#14#1#0#0#14#35#15##0#4*%£
24679	indicator_(third_person)	Y#14#1#0#0#4#7#5##0#4*%£
8514	four_(index_number)	Y#15#1#0#0#14#35#15##0#4*%£
8515	five_(index_number)	Y#16#1#0#0#14#35#15##0#4*%£
8516	six_(index_number)	Y#17#1#0#0#14#35#15##0#4*%£
8517	seven_(index_number)	Y#18#1#0#0#14#35#15##0#4*%£
8518	eight_(index_number)	Y#19#1#0#0#14#35#15##0#4*%£
8497	one_(digit),1	Y#2#1#0#0#12#35#13##0#4*%£
8519	nine_(index_number)	Y#20#1#0#0#14#37#15##0#4*%£
8487	comma	Y#21#1#0#0#16#31#17##0#4*%£
14947	intensity	Y#22#1#0#0#10#37#11##0#4*%£
24670	indicator_(imperative_form)	Y#23#1#0#0#4#9#5##0#4*%£
18229	what,question_mark	Y#24#1#0#0#10#36#11##0#4*%£
8995	indicator_(conditional)	Y#25#1#0#0#4#29#5##0#4*%£
8498	two_(digit),2	Y#3#1#0#0#12#33#13##0#4*%£
8499	three_(digit),3	Y#4#1#0#0#12#35#13##0#4*%£
8500	four_(digit),4	Y#5#1#0#0#12#35#13##0#4*%£
8501	five_(digit),5	Y#6#1#0#0#12#33#13##0#4*%£
8502	six_(digit),6	Y#7#1#0#0#12#35#13##0#4*%£
8503	seven_(digit),7	Y#8#1#0#0#12#29#13##0#4*%£
8504	eight_(digit),8	Y#9#1#0#0#12#35#13##0#4*%£
8521	a_(lowercase)	Z#1#1#0#0#10#35#11#a#0#6*%£
8551	A_(uppercase)	Z#1#1#0#0#10#35#11#A#0#6*%£
8522	b_(lowercase)	Z#1#1#0#0#10#35#11#b#0#6*%£
8552	B_(uppercase)	Z#1#1#0#0#10#35#11#B#0#6*%£
8523	c_(lowercase)	Z#1#1#0#0#10#35#11#c#0#6*%£
8553	C_(uppercase)	Z#1#1#0#0#10#35#11#C#0#6*%£
8524	d_(lowercase)	Z#1#1#0#0#10#35#11#d#0#6*%£
8554	D_(uppercase)	Z#1#1#0#0#10#35#11#D#0#6*%£
8525	e_(lowercase)	Z#1#1#0#0#10#35#11#e#0#6*%£
8555	E_(uppercase)	Z#1#1#0#0#10#35#11#E#0#6*%£
8526	f_(lowercase)	Z#1#1#0#0#10#35#11#f#0#6*%£
8556	F_(uppercase)	Z#1#1#0#0#10#35#11#F#0#6*%£
8527	g_(lowercase)	Z#1#1#0#0#10#35#11#g#0#6*%£
8557	G_(uppercase)	Z#1#1#0#0#10#35#11#G#0#6*%£
8528	h_(lowercase)	Z#1#1#0#0#10#35#11#h#0#6*%£
8558	H_(uppercase)	Z#1#1#0#0#10#35#11#H#0#6*%£
8529	i_(lowercase)	Z#1#1#0#0#10#35#11#i#0#6*%£
8559	I_(uppercase)	Z#1#1#0#0#10#35#11#I#0#6*%£
8530	j_(lowercase)	Z#1#1#0#0#10#35#11#j#0#6*%£
8560	J_(uppercase)	Z#1#1#0#0#10#35#11#J#0#6*%£
8531	k_(lowercase)	Z#1#1#0#0#10#35#11#k#0#6*%£
8561	K_(uppercase)	Z#1#1#0#0#10#35#11#K#0#6*%£
8532	l_(lowercase)	Z#1#1#0#0#10#35#11#l#0#6*%£
8562	L_(uppercase)	Z#1#1#0#0#10#35#11#L#0#6*%£
8533	m_(lowercase)	Z#1#1#0#0#10#35#11#m#0#6*%£
8563	M_(uppercase)	Z#1#1#0#0#10#35#11#M#0#6*%£
8534	n_(lowercase)	Z#1#1#0#0#10#35#11#n#0#6*%£
8564	N_(uppercase)	Z#1#1#0#0#10#35#11#N#0#6*%£
8535	o_(lowercase)	Z#1#1#0#0#10#35#11#o#0#6*%£
8565	O_(uppercase)	Z#1#1#0#0#10#35#11#O#0#6*%£
8536	p_(lowercase)	Z#1#1#0#0#10#35#11#p#0#6*%£
8566	P_(uppercase)	Z#1#1#0#0#10#35#11#P#0#6*%£
8537	q_(lowercase)	Z#1#1#0#0#10#35#11#q#0#6*%£
8567	Q_(uppercase)	Z#1#1#0#0#10#35#11#Q#0#6*%£
8538	r_(lowercase)	Z#1#1#0#0#10#35#11#r#0#6*%£
8568	R_(uppercase)	Z#1#1#0#0#10#35#11#R#0#6*%£
8539	s_(lowercase)	Z#1#1#0#0#10#35#11#s#0#6*%£
8569	S_(uppercase)	Z#1#1#0#0#10#35#11#S#0#6*%£
8540	t_(lowercase)	Z#1#1#0#0#10#35#11#t#0#6*%£
8570	T_(uppercase)	Z#1#1#0#0#10#35#11#T#0#6*%£
8541	u_(lowercase)	Z#1#1#0#0#10#35#11#u#0#6*%£
8571	U_(uppercase)	Z#1#1#0#0#10#35#11#U#0#6*%£
8542	v_(lowercase)	Z#1#1#0#0#10#35#11#v#0#6*%£
8572	V_(uppercase)	Z#1#1#0#0#10#35#11#V#0#6*%£
8543	w_(lowercase)	Z#1#1#0#0#10#35#11#w#0#6*%£
8573	W_(uppercase)	Z#1#1#0#0#10#35#11#W#0#6*%£
8544	x_(lowercase)	Z#1#1#0#0#10#35#11#x#0#6*%£
8574	X_(uppercase)	Z#1#1#0#0#10#35#11#X#0#6*%£
8545	y_(lowercase)	Z#1#1#0#0#10#35#11#y#0#6*%£
8575	Y_(uppercase)	Z#1#1#0#0#10#35#11#Y#0#6*%£
8546	z_(lowercase)	Z#1#1#0#0#10#35#11#z#0#6*%£
8576	Z_(uppercase)	Z#1#1#0#0#10#35#11#Z#0#6*%£
